iter	Logloss
0	0.6853869198
1	0.6772697635
2	0.671319304
3	0.665438992
4	0.6595204284
5	0.6553863767
6	0.6487814492
7	0.6441538097
8	0.6395514151
9	0.6355375195
10	0.6302840635
11	0.6227471055
12	0.6152898031
13	0.6101303584
14	0.605920804
15	0.6018262559
16	0.5977077106
17	0.5914209248
18	0.5870816681
19	0.5825657738
20	0.5795443402
21	0.574848548
22	0.5699671339
23	0.5663618289
24	0.5629812135
25	0.5582785052
26	0.5540592277
27	0.5498998234
28	0.5457561165
29	0.5425907018
30	0.5380460223
31	0.5346366748
32	0.5291840533
33	0.5248008172
34	0.52130931
35	0.5190819647
36	0.5170920124
37	0.5151443665
38	0.5088406182
39	0.5068561886
40	0.5031772325
41	0.5007619789
42	0.4988631736
43	0.4947191102
44	0.491019563
45	0.4886456575
46	0.4858626677
47	0.4836042095
48	0.4789429574
49	0.4771757493
50	0.4744564295
51	0.4714546739
52	0.4690903716
53	0.4655712224
54	0.4631165274
55	0.4610805122
56	0.4591032526
57	0.4573940994
58	0.4538245774
59	0.4517110036
60	0.4490920328
61	0.4471514989
62	0.4455248843
63	0.4434084166
64	0.4419878759
65	0.4387363195
66	0.4359491215
67	0.4332832022
68	0.4310711592
69	0.4284680371
70	0.4259566523
71	0.4238765656
72	0.4213637366
73	0.4184777332
74	0.4173886734
75	0.4149935341
76	0.4120546793
77	0.4109796232
78	0.4073291165
79	0.4052126927
80	0.4021238058
81	0.3996648395
82	0.3969374097
83	0.3960206302
84	0.3938073581
85	0.3926616025
86	0.3898238012
87	0.387854426
88	0.3858026526
89	0.3835297235
90	0.3821032143
91	0.3791120992
92	0.3770335496
93	0.3754091037
94	0.3725881859
95	0.3698389362
96	0.3678970719
97	0.3651789843
98	0.3633792763
99	0.3609437897
