iter	Passed	Remaining
0	0	53
1	0	47
2	1	40
3	1	39
4	1	36
5	2	35
6	2	33
7	2	33
8	3	32
9	3	31
10	3	30
11	4	30
12	4	29
13	4	28
14	4	27
15	4	26
16	5	26
17	5	25
18	6	25
19	6	25
20	6	25
21	6	24
22	7	24
23	7	24
24	7	23
25	8	23
26	8	23
27	8	22
28	9	22
29	9	22
30	9	21
31	10	21
32	10	20
33	10	20
34	10	20
35	11	20
36	11	19
37	11	19
38	12	19
39	12	18
40	12	18
41	13	18
42	13	17
43	13	17
44	13	17
45	14	16
46	14	16
47	14	15
48	14	15
49	15	15
50	15	14
51	15	14
52	15	14
53	16	13
54	16	13
55	16	13
56	17	12
57	17	12
58	17	12
59	17	11
60	18	11
61	18	11
62	18	11
63	19	10
64	19	10
65	19	10
66	20	9
67	20	9
68	20	9
69	20	8
70	21	8
71	21	8
72	21	7
73	22	7
74	22	7
75	22	7
76	22	6
77	23	6
78	23	6
79	23	5
80	24	5
81	24	5
82	24	5
83	24	4
84	25	4
85	25	4
86	25	3
87	25	3
88	26	3
89	26	2
90	26	2
91	27	2
92	27	2
93	27	1
94	28	1
95	28	1
96	28	0
97	28	0
98	29	0
99	29	0
