model,k,param,train,cv
LogReg,5,-,0.718,0.668
MLP,5,"h=10, act=logistic",0.744,0.696
MLP,5,"h=10, act=tanh",1.0,0.696
MLP,5,"h=10, act=relu",1.0,0.746
MLP,5,"h=5, act=logistic",0.744,0.696
MLP,5,"h=5, act=tanh",0.846,0.693
MLP,5,"h=5, act=relu",0.897,0.75
MLP,5,"h=3, act=logistic",0.718,0.696
MLP,5,"h=3, act=tanh",0.769,0.671
MLP,5,"h=3, act=relu",0.718,0.668
SVM,5,"C=0.01, ker=linear",0.667,0.668
SVM,5,"C=0.01, ker=poly",0.667,0.668
SVM,5,"C=0.01, ker=rbf",0.667,0.668
SVM,5,"C=0.01, ker=sigmoid",0.667,0.668
SVM,5,"C=0.03, ker=linear",0.744,0.643
SVM,5,"C=0.03, ker=poly",0.692,0.668
SVM,5,"C=0.03, ker=rbf",0.667,0.668
SVM,5,"C=0.03, ker=sigmoid",0.667,0.668
SVM,5,"C=0.1, ker=linear",0.718,0.693
SVM,5,"C=0.1, ker=poly",0.744,0.718
SVM,5,"C=0.1, ker=rbf",0.667,0.668
SVM,5,"C=0.1, ker=sigmoid",0.667,0.668
SVM,5,"C=0.3, ker=linear",0.769,0.718
SVM,5,"C=0.3, ker=poly",0.744,0.718
SVM,5,"C=0.3, ker=rbf",0.718,0.643
SVM,5,"C=0.3, ker=sigmoid",0.718,0.618
SVM,5,"C=1, ker=linear",0.744,0.693
SVM,5,"C=1, ker=poly",0.744,0.693
SVM,5,"C=1, ker=rbf",0.744,0.668
SVM,5,"C=1, ker=sigmoid",0.744,0.75
SVM,5,"C=3, ker=linear",0.769,0.693
SVM,5,"C=3, ker=poly",0.744,0.668
SVM,5,"C=3, ker=rbf",0.821,0.668
SVM,5,"C=3, ker=sigmoid",0.769,0.8
SVM,5,"C=10, ker=linear",0.718,0.664
SVM,5,"C=10, ker=poly",0.795,0.639
SVM,5,"C=10, ker=rbf",0.846,0.693
SVM,5,"C=10, ker=sigmoid",0.667,0.75
SVM,5,"C=30, ker=linear",0.821,0.668
SVM,5,"C=30, ker=poly",0.897,0.589
SVM,5,"C=30, ker=rbf",0.897,0.668
SVM,5,"C=30, ker=sigmoid",0.718,0.696
SVM,5,"C=100, ker=linear",0.821,0.664
SVM,5,"C=100, ker=poly",0.872,0.536
SVM,5,"C=100, ker=rbf",0.923,0.693
SVM,5,"C=100, ker=sigmoid",0.718,0.7
LogReg,10,-,0.872,0.793
MLP,10,"h=10, act=logistic",0.923,0.739
MLP,10,"h=10, act=tanh",1.0,0.739
MLP,10,"h=10, act=relu",0.923,0.764
MLP,10,"h=5, act=logistic",0.923,0.739
MLP,10,"h=5, act=tanh",0.923,0.661
MLP,10,"h=5, act=relu",0.923,0.743
MLP,10,"h=3, act=logistic",0.846,0.714
MLP,10,"h=3, act=tanh",0.949,0.764
MLP,10,"h=3, act=relu",0.872,0.711
SVM,10,"C=0.01, ker=linear",0.667,0.668
SVM,10,"C=0.01, ker=poly",0.667,0.668
SVM,10,"C=0.01, ker=rbf",0.667,0.668
SVM,10,"C=0.01, ker=sigmoid",0.667,0.668
SVM,10,"C=0.03, ker=linear",0.744,0.643
SVM,10,"C=0.03, ker=poly",0.667,0.668
SVM,10,"C=0.03, ker=rbf",0.667,0.668
SVM,10,"C=0.03, ker=sigmoid",0.667,0.668
SVM,10,"C=0.1, ker=linear",0.795,0.775
SVM,10,"C=0.1, ker=poly",0.692,0.668
SVM,10,"C=0.1, ker=rbf",0.667,0.668
SVM,10,"C=0.1, ker=sigmoid",0.667,0.668
SVM,10,"C=0.3, ker=linear",0.769,0.689
SVM,10,"C=0.3, ker=poly",0.769,0.643
SVM,10,"C=0.3, ker=rbf",0.692,0.643
SVM,10,"C=0.3, ker=sigmoid",0.744,0.643
SVM,10,"C=1, ker=linear",0.846,0.689
SVM,10,"C=1, ker=poly",0.744,0.693
SVM,10,"C=1, ker=rbf",0.846,0.746
SVM,10,"C=1, ker=sigmoid",0.795,0.693
SVM,10,"C=3, ker=linear",0.846,0.689
SVM,10,"C=3, ker=poly",0.769,0.639
SVM,10,"C=3, ker=rbf",0.872,0.821
SVM,10,"C=3, ker=sigmoid",0.795,0.693
SVM,10,"C=10, ker=linear",0.846,0.711
SVM,10,"C=10, ker=poly",0.897,0.614
SVM,10,"C=10, ker=rbf",0.949,0.768
SVM,10,"C=10, ker=sigmoid",0.821,0.743
SVM,10,"C=30, ker=linear",0.846,0.739
SVM,10,"C=30, ker=poly",0.949,0.689
SVM,10,"C=30, ker=rbf",1.0,0.714
SVM,10,"C=30, ker=sigmoid",0.846,0.639
SVM,10,"C=100, ker=linear",0.846,0.711
SVM,10,"C=100, ker=poly",1.0,0.664
SVM,10,"C=100, ker=rbf",0.974,0.689
SVM,10,"C=100, ker=sigmoid",0.718,0.664
LogReg,15,-,0.897,0.793
MLP,15,"h=10, act=logistic",1.0,0.739
MLP,15,"h=10, act=tanh",1.0,0.764
MLP,15,"h=10, act=relu",1.0,0.764
MLP,15,"h=5, act=logistic",0.974,0.793
MLP,15,"h=5, act=tanh",1.0,0.764
MLP,15,"h=5, act=relu",0.949,0.771
MLP,15,"h=3, act=logistic",0.872,0.768
MLP,15,"h=3, act=tanh",1.0,0.714
MLP,15,"h=3, act=relu",0.846,0.818
SVM,15,"C=0.01, ker=linear",0.667,0.643
SVM,15,"C=0.01, ker=poly",0.667,0.668
SVM,15,"C=0.01, ker=rbf",0.667,0.668
SVM,15,"C=0.01, ker=sigmoid",0.667,0.668
SVM,15,"C=0.03, ker=linear",0.744,0.693
SVM,15,"C=0.03, ker=poly",0.667,0.668
SVM,15,"C=0.03, ker=rbf",0.667,0.668
SVM,15,"C=0.03, ker=sigmoid",0.667,0.668
SVM,15,"C=0.1, ker=linear",0.795,0.8
SVM,15,"C=0.1, ker=poly",0.692,0.643
SVM,15,"C=0.1, ker=rbf",0.667,0.668
SVM,15,"C=0.1, ker=sigmoid",0.667,0.668
SVM,15,"C=0.3, ker=linear",0.795,0.689
SVM,15,"C=0.3, ker=poly",0.744,0.668
SVM,15,"C=0.3, ker=rbf",0.692,0.668
SVM,15,"C=0.3, ker=sigmoid",0.667,0.643
SVM,15,"C=1, ker=linear",0.872,0.689
SVM,15,"C=1, ker=poly",0.744,0.668
SVM,15,"C=1, ker=rbf",0.872,0.771
SVM,15,"C=1, ker=sigmoid",0.821,0.771
SVM,15,"C=3, ker=linear",0.897,0.739
SVM,15,"C=3, ker=poly",0.795,0.639
SVM,15,"C=3, ker=rbf",0.897,0.846
SVM,15,"C=3, ker=sigmoid",0.795,0.743
SVM,15,"C=10, ker=linear",0.923,0.711
SVM,15,"C=10, ker=poly",0.821,0.639
SVM,15,"C=10, ker=rbf",0.974,0.796
SVM,15,"C=10, ker=sigmoid",0.795,0.796
SVM,15,"C=30, ker=linear",0.949,0.661
SVM,15,"C=30, ker=poly",0.974,0.664
