model,k,param,train,cv
LogReg,4,-,0.718,0.668
MLP,4,"h=4,relu",0.821,0.621
MLP,4,"h=4,logistic",0.718,0.696
MLP,4,"h=15,relu",1.0,0.668
MLP,4,"h=15,logistic",0.718,0.668
SVM,4,"C=0.1,linear",0.744,0.668
SVM,4,"C=0.1,rbf",0.667,0.668
SVM,4,"C=1,linear",0.744,0.693
SVM,4,"C=1,rbf",0.744,0.643
SVM,4,"C=10,linear",0.744,0.664
SVM,4,"C=10,rbf",0.897,0.668
DT,4,d=3,0.897,0.611
DT,4,d=5,1.0,0.689
DT,4,d=None,1.0,0.689
RF,4,"n=16,d=3",0.923,0.618
RF,4,"n=16,d=5",1.0,0.643
RF,4,"n=16,d=None",1.0,0.589
XGB,4,"d=15,lr=0.05",0.923,0.718
XGB,4,"d=15,lr=0.1",0.949,0.718
XGB,4,"d=17,lr=0.05",0.923,0.718
XGB,4,"d=17,lr=0.1",0.949,0.718
CatBoost,4,"d=1,lr=0.05",0.821,0.643
CatBoost,4,"d=1,lr=0.1",0.846,0.668
CatBoost,4,"d=15,lr=0.05",0.974,0.689
CatBoost,4,"d=15,lr=0.1",1.0,0.718
LogReg,5,-,0.718,0.668
MLP,5,"h=4,relu",0.872,0.696
MLP,5,"h=4,logistic",0.718,0.668
MLP,5,"h=15,relu",0.897,0.639
MLP,5,"h=15,logistic",0.769,0.696
SVM,5,"C=0.1,linear",0.718,0.693
SVM,5,"C=0.1,rbf",0.667,0.668
SVM,5,"C=1,linear",0.744,0.693
SVM,5,"C=1,rbf",0.744,0.668
SVM,5,"C=10,linear",0.718,0.664
SVM,5,"C=10,rbf",0.846,0.693
DT,5,d=3,0.872,0.536
DT,5,d=5,0.974,0.589
DT,5,d=None,1.0,0.614
RF,5,"n=16,d=3",0.923,0.7
RF,5,"n=16,d=5",0.974,0.7
RF,5,"n=16,d=None",1.0,0.7
XGB,5,"d=15,lr=0.05",0.949,0.668
XGB,5,"d=15,lr=0.1",0.949,0.668
XGB,5,"d=17,lr=0.05",0.949,0.668
XGB,5,"d=17,lr=0.1",0.949,0.668
CatBoost,5,"d=1,lr=0.05",0.795,0.643
CatBoost,5,"d=1,lr=0.1",0.821,0.668
CatBoost,5,"d=15,lr=0.05",0.949,0.693
CatBoost,5,"d=15,lr=0.1",1.0,0.668
LogReg,6,-,0.718,0.668
MLP,6,"h=4,relu",0.846,0.614
MLP,6,"h=4,logistic",0.769,0.696
MLP,6,"h=15,relu",1.0,0.664
MLP,6,"h=15,logistic",0.769,0.721
SVM,6,"C=0.1,linear",0.744,0.693
SVM,6,"C=0.1,rbf",0.667,0.668
SVM,6,"C=1,linear",0.744,0.693
SVM,6,"C=1,rbf",0.769,0.618
SVM,6,"C=10,linear",0.769,0.639
SVM,6,"C=10,rbf",0.872,0.693
DT,6,d=3,0.872,0.561
DT,6,d=5,0.974,0.589
DT,6,d=None,1.0,0.614
RF,6,"n=16,d=3",0.923,0.621
RF,6,"n=16,d=5",1.0,0.593
RF,6,"n=16,d=None",1.0,0.621
XGB,6,"d=15,lr=0.05",0.949,0.668
XGB,6,"d=15,lr=0.1",0.949,0.668
XGB,6,"d=17,lr=0.05",0.949,0.668
XGB,6,"d=17,lr=0.1",0.949,0.668
CatBoost,6,"d=1,lr=0.05",0.769,0.668
CatBoost,6,"d=1,lr=0.1",0.795,0.643
CatBoost,6,"d=15,lr=0.05",0.949,0.696
CatBoost,6,"d=15,lr=0.1",1.0,0.643
LogReg,7,-,0.718,0.668
MLP,7,"h=4,relu",0.769,0.643
MLP,7,"h=4,logistic",0.795,0.721
MLP,7,"h=15,relu",1.0,0.639
MLP,7,"h=15,logistic",0.769,0.614
SVM,7,"C=0.1,linear",0.744,0.693
SVM,7,"C=0.1,rbf",0.667,0.668
SVM,7,"C=1,linear",0.769,0.693
SVM,7,"C=1,rbf",0.769,0.618
SVM,7,"C=10,linear",0.795,0.661
SVM,7,"C=10,rbf",0.872,0.693
DT,7,d=3,0.872,0.636
DT,7,d=5,1.0,0.664
DT,7,d=None,1.0,0.689
RF,7,"n=16,d=3",0.923,0.643
RF,7,"n=16,d=5",1.0,0.675
RF,7,"n=16,d=None",1.0,0.65
XGB,7,"d=15,lr=0.05",0.949,0.668
XGB,7,"d=15,lr=0.1",0.949,0.693
XGB,7,"d=17,lr=0.05",0.949,0.668
XGB,7,"d=17,lr=0.1",0.949,0.693
CatBoost,7,"d=1,lr=0.05",0.795,0.668
CatBoost,7,"d=1,lr=0.1",0.846,0.668
CatBoost,7,"d=15,lr=0.05",0.974,0.675
CatBoost,7,"d=15,lr=0.1",1.0,0.668
LogReg,8,-,0.744,0.696
MLP,8,"h=4,relu",0.846,0.696
MLP,8,"h=4,logistic",0.769,0.775
MLP,8,"h=15,relu",0.923,0.736
MLP,8,"h=15,logistic",0.769,0.636
SVM,8,"C=0.1,linear",0.744,0.693
SVM,8,"C=0.1,rbf",0.667,0.668
SVM,8,"C=1,linear",0.769,0.693
SVM,8,"C=1,rbf",0.821,0.643
SVM,8,"C=10,linear",0.795,0.611
SVM,8,"C=10,rbf",0.897,0.664
DT,8,d=3,0.949,0.718
DT,8,d=5,1.0,0.746
DT,8,d=None,1.0,0.771
RF,8,"n=16,d=3",0.897,0.671
RF,8,"n=16,d=5",0.974,0.75
RF,8,"n=16,d=None",1.0,0.696
XGB,8,"d=15,lr=0.05",0.974,0.689
XGB,8,"d=15,lr=0.1",0.949,0.689
XGB,8,"d=17,lr=0.05",0.974,0.689
XGB,8,"d=17,lr=0.1",0.949,0.689
CatBoost,8,"d=1,lr=0.05",0.846,0.746
CatBoost,8,"d=1,lr=0.1",0.872,0.696
CatBoost,8,"d=15,lr=0.05",1.0,0.75
CatBoost,8,"d=15,lr=0.1",1.0,0.725
LogReg,9,-,0.821,0.693
MLP,9,"h=4,relu",0.949,0.718
MLP,9,"h=4,logistic",0.769,0.664
MLP,9,"h=15,relu",1.0,0.739
MLP,9,"h=15,logistic",0.949,0.714
SVM,9,"C=0.1,linear",0.744,0.718
SVM,9,"C=0.1,rbf",0.667,0.668
SVM,9,"C=1,linear",0.744,0.689
SVM,9,"C=1,rbf",0.846,0.668
SVM,9,"C=10,linear",0.872,0.714
SVM,9,"C=10,rbf",0.949,0.743
DT,9,d=3,0.949,0.689
DT,9,d=5,1.0,0.718
DT,9,d=None,1.0,0.743
RF,9,"n=16,d=3",0.974,0.75
RF,9,"n=16,d=5",1.0,0.721
RF,9,"n=16,d=None",1.0,0.75
XGB,9,"d=15,lr=0.05",0.949,0.743
XGB,9,"d=15,lr=0.1",0.949,0.718
XGB,9,"d=17,lr=0.05",0.949,0.743
XGB,9,"d=17,lr=0.1",0.949,0.718
CatBoost,9,"d=1,lr=0.05",0.846,0.721
CatBoost,9,"d=1,lr=0.1",0.923,0.746
CatBoost,9,"d=15,lr=0.05",1.0,0.796
CatBoost,9,"d=15,lr=0.1",1.0,0.846
LogReg,10,-,0.872,0.793
MLP,10,"h=4,relu",1.0,0.789
MLP,10,"h=4,logistic",0.846,0.739
MLP,10,"h=15,relu",0.949,0.764
MLP,10,"h=15,logistic",0.923,0.739
SVM,10,"C=0.1,linear",0.795,0.775
SVM,10,"C=0.1,rbf",0.667,0.668
SVM,10,"C=1,linear",0.846,0.689
SVM,10,"C=1,rbf",0.846,0.746
SVM,10,"C=10,linear",0.846,0.711
SVM,10,"C=10,rbf",0.949,0.768
DT,10,d=3,0.949,0.639
DT,10,d=5,1.0,0.643
DT,10,d=None,1.0,0.668
RF,10,"n=16,d=3",0.949,0.721
RF,10,"n=16,d=5",1.0,0.771
RF,10,"n=16,d=None",1.0,0.8
XGB,10,"d=15,lr=0.05",0.974,0.714
XGB,10,"d=15,lr=0.1",0.974,0.768
XGB,10,"d=17,lr=0.05",0.974,0.714
XGB,10,"d=17,lr=0.1",0.974,0.768
CatBoost,10,"d=1,lr=0.05",0.872,0.721
CatBoost,10,"d=1,lr=0.1",0.949,0.746
CatBoost,10,"d=15,lr=0.05",1.0,0.768
CatBoost,10,"d=15,lr=0.1",1.0,0.718
LogReg,11,-,0.872,0.793
MLP,11,"h=4,relu",0.897,0.679
MLP,11,"h=4,logistic",0.846,0.793
MLP,11,"h=15,relu",1.0,0.764
MLP,11,"h=15,logistic",0.923,0.739
SVM,11,"C=0.1,linear",0.795,0.775
SVM,11,"C=0.1,rbf",0.667,0.668
SVM,11,"C=1,linear",0.846,0.689
SVM,11,"C=1,rbf",0.846,0.746
SVM,11,"C=10,linear",0.846,0.711
SVM,11,"C=10,rbf",0.949,0.768
DT,11,d=3,0.949,0.639
DT,11,d=5,1.0,0.643
DT,11,d=None,1.0,0.639
RF,11,"n=16,d=3",0.974,0.746
RF,11,"n=16,d=5",1.0,0.771
RF,11,"n=16,d=None",1.0,0.771
XGB,11,"d=15,lr=0.05",0.974,0.714
XGB,11,"d=15,lr=0.1",0.974,0.768
XGB,11,"d=17,lr=0.05",0.974,0.714
XGB,11,"d=17,lr=0.1",0.974,0.768
CatBoost,11,"d=1,lr=0.05",0.897,0.746
CatBoost,11,"d=1,lr=0.1",0.923,0.746
CatBoost,11,"d=15,lr=0.05",1.0,0.793
CatBoost,11,"d=15,lr=0.1",1.0,0.743
LogReg,12,-,0.897,0.768
MLP,12,"h=4,relu",0.949,0.686
MLP,12,"h=4,logistic",0.872,0.739
MLP,12,"h=15,relu",1.0,0.793
MLP,12,"h=15,logistic",0.974,0.714
SVM,12,"C=0.1,linear",0.795,0.775
SVM,12,"C=0.1,rbf",0.667,0.668
SVM,12,"C=1,linear",0.821,0.689
SVM,12,"C=1,rbf",0.872,0.746
SVM,12,"C=10,linear",0.897,0.686
SVM,12,"C=10,rbf",0.949,0.743
DT,12,d=3,0.949,0.718
DT,12,d=5,1.0,0.746
DT,12,d=None,1.0,0.771
RF,12,"n=16,d=3",0.949,0.696
RF,12,"n=16,d=5",1.0,0.75
RF,12,"n=16,d=None",1.0,0.75
XGB,12,"d=15,lr=0.05",0.949,0.739
XGB,12,"d=15,lr=0.1",0.974,0.768
XGB,12,"d=17,lr=0.05",0.949,0.739
XGB,12,"d=17,lr=0.1",0.974,0.768
CatBoost,12,"d=1,lr=0.05",0.872,0.771
